Location,Age_Group,Population,Week,People_Tested,All_Test_Results,Positives,Hospitalizations,Deaths
All King County,50-59,270375.02,03/11/20 - 03/17/20,802,810,71,17,0
All King County,60-69,219475.51,03/11/20 - 03/17/20,640,655,60,22,3
All King County,70-79,122090.34,03/11/20 - 03/17/20,410,423,80,31,11
All King County,80+,61987.13,03/11/20 - 03/17/20,375,386,79,37,16
All King County,Unknown,0,03/11/20 - 03/17/20,1,1,0,0,0
All King County,0-9,257228.65,03/18/20 - 03/24/20,289,290,2,0,0
All King County,10-19,254148.03,03/18/20 - 03/24/20,242,243,6,0,0
All King County,20-29,207537.14,03/18/20 - 03/24/20,1111,1116,88,5,0
All King County,30-39,394262.07,03/18/20 - 03/24/20,1736,1744,135,8,0
All King County,40-49,296609.58,03/18/20 - 03/24/20,1451,1465,118,14,0
All King County,50-59,270375.02,03/18/20 - 03/24/20,1272,1289,139,23,3
All King County,60-69,219475.51,03/18/20 - 03/24/20,1000,1010,131,32,10
All King County,70-79,122090.34,03/18/20 - 03/24/20,506,517,100,45,16
All King County,80+,61987.13,03/18/20 - 03/24/20,399,406,91,50,23
All King County,Unknown,0,03/18/20 - 03/24/20,2,2,0,0,0
All King County,0-9,257228.65,03/25/20 - 03/31/20,306,315,5,1,0
All King County,10-19,254148.03,03/25/20 - 03/31/20,264,269,15,2,0
All King County,20-29,207537.14,03/25/20 - 03/31/20,1365,1375,178,8,0
All King County,30-39,394262.07,03/25/20 - 03/31/20,2177,2204,205,12,0
All King County,40-49,296609.58,03/25/20 - 03/31/20,1924,1959,222,29,0
All King County,50-59,270375.02,03/25/20 - 03/31/20,1783,1812,266,38,4
All King County,60-69,219475.51,03/25/20 - 03/31/20,1388,1435,206,60,7
All King County,70-79,122090.34,03/25/20 - 03/31/20,649,677,103,41,19
All King County,80+,61987.13,03/25/20 - 03/31/20,468,507,142,62,34
All King County,Unknown,0,03/25/20 - 03/31/20,14,14,1,1,0
All King County,0-9,257228.65,04/01/20 - 04/07/20,222,227,8,0,0
All King County,10-19,254148.03,04/01/20 - 04/07/20,250,250,32,1,0
All King County,20-29,207537.14,04/01/20 - 04/07/20,1280,1287,162,6,1
All King County,30-39,394262.07,04/01/20 - 04/07/20,2108,2139,190,16,0
All King County,40-49,296609.58,04/01/20 - 04/07/20,1669,1694,187,29,5
All King County,50-59,270375.02,04/01/20 - 04/07/20,1610,1633,206,39,3
All King County,60-69,219475.51,04/01/20 - 04/07/20,1272,1304,196,52,6
All King County,70-79,122090.34,04/01/20 - 04/07/20,637,658,93,42,24
All King County,80+,61987.13,04/01/20 - 04/07/20,479,506,103,54,53
All King County,Unknown,0,04/01/20 - 04/07/20,18,18,0,0,0
All King County,0-9,257228.65,04/08/20 - 04/14/20,218,223,7,1,0
All King County,10-19,254148.03,04/08/20 - 04/14/20,286,290,26,2,0
All King County,20-29,207537.14,04/08/20 - 04/14/20,1432,1446,123,8,1
All King County,30-39,394262.07,04/08/20 - 04/14/20,2109,2130,128,13,0
All King County,40-49,296609.58,04/08/20 - 04/14/20,1820,1846,151,19,1
All King County,50-59,270375.02,04/08/20 - 04/14/20,1729,1770,191,27,3
All King County,60-69,219475.51,04/08/20 - 04/14/20,1296,1323,109,35,6
All King County,70-79,122090.34,04/08/20 - 04/14/20,680,708,68,28,11
All King County,80+,61987.13,04/08/20 - 04/14/20,523,554,89,25,36
All King County,Unknown,0,04/08/20 - 04/14/20,32,32,1,0,0
All King County,0-9,257228.65,04/15/20 - 04/21/20,224,225,11,0,0
All King County,10-19,254148.03,04/15/20 - 04/21/20,301,307,26,0,0
All King County,20-29,207537.14,04/15/20 - 04/21/20,1394,1419,117,9,0
All King County,30-39,394262.07,04/15/20 - 04/21/20,2054,2092,126,10,1
All King County,40-49,296609.58,04/15/20 - 04/21/20,1635,1670,130,17,2
All King County,50-59,270375.02,04/15/20 - 04/21/20,1673,1727,138,25,6
All King County,60-69,219475.51,04/15/20 - 04/21/20,1423,1485,114,32,8
All King County,70-79,122090.34,04/15/20 - 04/21/20,895,957,56,26,15
All King County,80+,61987.13,04/15/20 - 04/21/20,679,733,67,29,37
All King County,Unknown,0,04/15/20 - 04/21/20,38,38,0,0,0
All King County,0-9,257228.65,04/22/20 - 04/28/20,301,302,13,0,0
All King County,10-19,254148.03,04/22/20 - 04/28/20,389,400,19,0,0
All King County,20-29,207537.14,04/22/20 - 04/28/20,1547,1570,100,4,0
All King County,30-39,394262.07,04/22/20 - 04/28/20,2148,2188,126,6,1
All King County,40-49,296609.58,04/22/20 - 04/28/20,1803,1839,80,16,1
All King County,50-59,270375.02,04/22/20 - 04/28/20,1860,1908,116,15,2
All King County,60-69,219475.51,04/22/20 - 04/28/20,1684,1731,94,21,11
All King County,70-79,122090.34,04/22/20 - 04/28/20,977,1020,43,15,10
All King County,80+,61987.13,04/22/20 - 04/28/20,895,943,51,25,23
All King County,Unknown,0,04/22/20 - 04/28/20,16,16,0,0,0
All King County,0-9,257228.65,04/29/20 - 05/05/20,243,244,16,0,0
All King County,10-19,254148.03,04/29/20 - 05/05/20,344,347,25,0,0
All King County,20-29,207537.14,04/29/20 - 05/05/20,1673,1691,119,5,1
All King County,30-39,394262.07,04/29/20 - 05/05/20,2242,2262,88,5,0
All King County,40-49,296609.58,04/29/20 - 05/05/20,1834,1859,113,13,0
All King County,50-59,270375.02,04/29/20 - 05/05/20,1823,1864,89,8,9
All King County,60-69,219475.51,04/29/20 - 05/05/20,1540,1580,69,16,5
All King County,70-79,122090.34,04/29/20 - 05/05/20,910,945,24,6,6
All King County,80+,61987.13,04/29/20 - 05/05/20,868,911,47,19,15
All King County,Unknown,0,04/29/20 - 05/05/20,10,10,0,0,0
All King County,0-9,257228.65,05/06/20 - 05/12/20,242,245,13,0,0
All King County,10-19,254148.03,05/06/20 - 05/12/20,355,357,29,0,0
All King County,20-29,207537.14,05/06/20 - 05/12/20,1641,1656,85,3,0
All King County,30-39,394262.07,05/06/20 - 05/12/20,2236,2277,94,7,0
All King County,40-49,296609.58,05/06/20 - 05/12/20,1811,1847,103,8,0
All King County,50-59,270375.02,05/06/20 - 05/12/20,1841,1873,69,8,2
All King County,60-69,219475.51,05/06/20 - 05/12/20,1578,1614,45,15,5
All King County,70-79,122090.34,05/06/20 - 05/12/20,1024,1054,28,11,11
All King County,80+,61987.13,05/06/20 - 05/12/20,979,1020,38,13,17
All King County,Unknown,0,05/06/20 - 05/12/20,6,6,0,0,0
All King County,0-9,257228.65,05/13/20 - 05/19/20,270,273,25,0,0
All King County,10-19,254148.03,05/13/20 - 05/19/20,315,316,30,1,0
All King County,20-29,207537.14,05/13/20 - 05/19/20,1575,1594,76,2,0
